county_name,state_name,median_income
Emmet County,Iowa,65181
Fayette County,Iowa,58764
Floyd County,Iowa,64500
Franklin County,Iowa,63648
Fremont County,Iowa,73750
Greene County,Iowa,59159
Grundy County,Iowa,83617
Guthrie County,Iowa,79981
Hamilton County,Iowa,71750
Hancock County,Iowa,70212
Hardin County,Iowa,64906
Harrison County,Iowa,77027
Henry County,Iowa,64604
Howard County,Iowa,67336
Humboldt County,Iowa,66994
Ida County,Iowa,62841
Iowa County,Iowa,72185
Jackson County,Iowa,71605
Jasper County,Iowa,70128
Jefferson County,Iowa,56824
Johnson County,Iowa,74721
Jones County,Iowa,73071
Keokuk County,Iowa,60856
Kossuth County,Iowa,65656
Lee County,Iowa,59803
Linn County,Iowa,76421
Louisa County,Iowa,80223
Lucas County,Iowa,67921
Lyon County,Iowa,72881
Madison County,Iowa,89542
Mahaska County,Iowa,69019
Marion County,Iowa,78059
Marshall County,Iowa,72785
Mills County,Iowa,87810
Mitchell County,Iowa,68704
Monona County,Iowa,62944
Monroe County,Iowa,72518
Montgomery County,Iowa,63190
Muscatine County,Iowa,69512
O'Brien County,Iowa,68216
Osceola County,Iowa,69138
Page County,Iowa,57752
Palo Alto County,Iowa,68963
Plymouth County,Iowa,81600
Pocahontas County,Iowa,63423
Polk County,Iowa,81621
Pottawattamie County,Iowa,71446
Poweshiek County,Iowa,64837
Ringgold County,Iowa,69821
Sac County,Iowa,70991
Scott County,Iowa,76363
Shelby County,Iowa,67690
Sioux County,Iowa,84736
Story County,Iowa,69006
Tama County,Iowa,67955
Taylor County,Iowa,67279
Union County,Iowa,56813
Van Buren County,Iowa,60183
Wapello County,Iowa,60034
Warren County,Iowa,92990
Washington County,Iowa,71339
Wayne County,Iowa,59118
Webster County,Iowa,68054
Winnebago County,Iowa,63719
Winneshiek County,Iowa,75652
Woodbury County,Iowa,70147
Worth County,Iowa,76875
Wright County,Iowa,64033
Allen County,Kansas,57618
Anderson County,Kansas,64925
Atchison County,Kansas,62164
Barber County,Kansas,57615
Barton County,Kansas,56733
Bourbon County,Kansas,67555
Brown County,Kansas,58886
Butler County,Kansas,80375
Chase County,Kansas,54518
Chautauqua County,Kansas,54592
Cherokee County,Kansas,58274
Cheyenne County,Kansas,55765
Clark County,Kansas,65515
Clay County,Kansas,63136
Cloud County,Kansas,57333
Coffey County,Kansas,67377
Comanche County,Kansas,49417
Cowley County,Kansas,58263
Crawford County,Kansas,50311
Decatur County,Kansas,52030
Dickinson County,Kansas,67982
Doniphan County,Kansas,72833
Douglas County,Kansas,68756
Edwards County,Kansas,53792
Elk County,Kansas,56087
Ellis County,Kansas,59889
Ellsworth County,Kansas,66792
Finney County,Kansas,72437
Ford County,Kansas,70495
Franklin County,Kansas,72142
Geary County,Kansas,57344
Gove County,Kansas,63203
Graham County,Kansas,52909
Grant County,Kansas,72484
Gray County,Kansas,77885
Greeley County,Kansas,78819
Greenwood County,Kansas,58276
Hamilton County,Kansas,61929
Harper County,Kansas,55417
Harvey County,Kansas,73269
Haskell County,Kansas,69138
Hodgeman County,Kansas,63125
Jackson County,Kansas,72703
Jefferson County,Kansas,77393
Jewell County,Kansas,52344
Johnson County,Kansas,107261
Kearny County,Kansas,74135
Kingman County,Kansas,59819
Kiowa County,Kansas,73214
Labette County,Kansas,55439
Lane County,Kansas,53042
Leavenworth County,Kansas,86906
Lincoln County,Kansas,53546
Linn County,Kansas,59200
Logan County,Kansas,71389
Lyon County,Kansas,59078
McPherson County,Kansas,77701
Marion County,Kansas,63438
Marshall County,Kansas,70828
Meade County,Kansas,74868
Miami County,Kansas,88000
Mitchell County,Kansas,58233
Montgomery County,Kansas,53242
Morris County,Kansas,56716
Morton County,Kansas,65625
Nemaha County,Kansas,77375
Neosho County,Kansas,55704
Ness County,Kansas,66107
Norton County,Kansas,50305
Osage County,Kansas,70216
Osborne County,Kansas,59408
Ottawa County,Kansas,76755
Pawnee County,Kansas,63625
Phillips County,Kansas,61235
Pottawatomie County,Kansas,87694
Pratt County,Kansas,64348
Rawlins County,Kansas,65000
Reno County,Kansas,60498
Republic County,Kansas,53611
Rice County,Kansas,63947
Riley County,Kansas,59560
Rooks County,Kansas,61596
Rush County,Kansas,60288
Russell County,Kansas,53902
Saline County,Kansas,63316
Scott County,Kansas,67788
Sedgwick County,Kansas,67675
Seward County,Kansas,62269
Shawnee County,Kansas,66043
Sheridan County,Kansas,70000
Sherman County,Kansas,64444
Smith County,Kansas,57024
Stafford County,Kansas,63786
Stanton County,Kansas,70361
Stevens County,Kansas,61909
Sumner County,Kansas,60348
Thomas County,Kansas,73575
Trego County,Kansas,73375
Wabaunsee County,Kansas,70536
Wallace County,Kansas,60263
Washington County,Kansas,62452
Wichita County,Kansas,71282
Wilson County,Kansas,57056
Woodson County,Kansas,48152
Wyandotte County,Kansas,60582
Adair County,Kentucky,50316
Allen County,Kentucky,59029
Anderson County,Kentucky,71747
Ballard County,Kentucky,64740
Barren County,Kentucky,49171
Bath County,Kentucky,54128
Bell County,Kentucky,32403
Boone County,Kentucky,94752
Bourbon County,Kentucky,56322
Boyd County,Kentucky,60659
Boyle County,Kentucky,61635
Bracken County,Kentucky,59521
Breathitt County,Kentucky,41101
Breckinridge County,Kentucky,53673
Bullitt County,Kentucky,77640
Butler County,Kentucky,52003
Caldwell County,Kentucky,57618
Calloway County,Kentucky,51854
Campbell County,Kentucky,77271
Carlisle County,Kentucky,62019
Carroll County,Kentucky,57753
Carter County,Kentucky,50389
Casey County,Kentucky,41689
Christian County,Kentucky,54190
Clark County,Kentucky,67824
Clay County,Kentucky,39607
Clinton County,Kentucky,42168
Crittenden County,Kentucky,47003
Cumberland County,Kentucky,39662
Daviess County,Kentucky,65323
Edmonson County,Kentucky,54512
Elliott County,Kentucky,40074
Estill County,Kentucky,43905
Fayette County,Kentucky,67631
Fleming County,Kentucky,49663
Floyd County,Kentucky,41582
Franklin County,Kentucky,66470
Fulton County,Kentucky,36834
Gallatin County,Kentucky,62247
Garrard County,Kentucky,62572
Grant County,Kentucky,67940
Graves County,Kentucky,50576
Grayson County,Kentucky,49893
Green County,Kentucky,41087
Greenup County,Kentucky,59613
Hancock County,Kentucky,66836
Hardin County,Kentucky,67608
Harlan County,Kentucky,37198
Harrison County,Kentucky,63205
Hart County,Kentucky,49653
Henderson County,Kentucky,58239
Henry County,Kentucky,60736
Hickman County,Kentucky,63750
Hopkins County,Kentucky,57610
Jackson County,Kentucky,41410
Jefferson County,Kentucky,67849
Jessamine County,Kentucky,74886
Johnson County,Kentucky,43014
Kenton County,Kentucky,79421
Knott County,Kentucky,37736
Knox County,Kentucky,33153
Larue County,Kentucky,67770
Laurel County,Kentucky,56999
Lawrence County,Kentucky,45584
Lee County,Kentucky,34182
Leslie County,Kentucky,40176
Letcher County,Kentucky,40501
Lewis County,Kentucky,41632
Lincoln County,Kentucky,50862
Livingston County,Kentucky,59713
Logan County,Kentucky,61535
Lyon County,Kentucky,64464
McCracken County,Kentucky,62385
McCreary County,Kentucky,37355
McLean County,Kentucky,70549
Madison County,Kentucky,62407
Magoffin County,Kentucky,33632
Marion County,Kentucky,55404
Marshall County,Kentucky,63611
Martin County,Kentucky,46185
Mason County,Kentucky,51473
Meade County,Kentucky,70163
Menifee County,Kentucky,44672
Mercer County,Kentucky,63115
Metcalfe County,Kentucky,48572
Monroe County,Kentucky,49430
Montgomery County,Kentucky,57468
Morgan County,Kentucky,47493
Muhlenberg County,Kentucky,52672
Nelson County,Kentucky,67888
Nicholas County,Kentucky,53616
Ohio County,Kentucky,54369
Oldham County,Kentucky,121491
Owen County,Kentucky,59706
Owsley County,Kentucky,31064
Pendleton County,Kentucky,66601
Perry County,Kentucky,45261
Pike County,Kentucky,42179
Powell County,Kentucky,39811
Pulaski County,Kentucky,50943
Robertson County,Kentucky,52337
Rockcastle County,Kentucky,48367
Rowan County,Kentucky,53657
Russell County,Kentucky,50520
Scott County,Kentucky,83660
Shelby County,Kentucky,82671
Simpson County,Kentucky,57392
Spencer County,Kentucky,98333
Taylor County,Kentucky,61871
Todd County,Kentucky,57759
Trigg County,Kentucky,54630
Trimble County,Kentucky,67813
Union County,Kentucky,60989
Warren County,Kentucky,64801
Washington County,Kentucky,59762
Wayne County,Kentucky,41933
Webster County,Kentucky,58786
Whitley County,Kentucky,41719
Wolfe County,Kentucky,29052
Woodford County,Kentucky,80006
Acadia Parish,Louisiana,45266
Allen Parish,Louisiana,51138
Ascension Parish,Louisiana,92266
Assumption Parish,Louisiana,52546
Avoyelles Parish,Louisiana,39439
Beauregard Parish,Louisiana,64995
Bienville Parish,Louisiana,34992
Bossier Parish,Louisiana,66336
Caddo Parish,Louisiana,50067
Calcasieu Parish,Louisiana,67849
Caldwell Parish,Louisiana,44957
Cameron Parish,Louisiana,72500
Catahoula Parish,Louisiana,47753
Claiborne Parish,Louisiana,31784
Concordia Parish,Louisiana,37349
De Soto Parish,Louisiana,46077
East Baton Rouge Parish,Louisiana,63075
East Carroll Parish,Louisiana,28321
East Feliciana Parish,Louisiana,72899
Evangeline Parish,Louisiana,42273
Franklin Parish,Louisiana,44103
Grant Parish,Louisiana,61112
Iberia Parish,Louisiana,57811
Iberville Parish,Louisiana,57459
Jackson Parish,Louisiana,43345
Jefferson Parish,Louisiana,65246
Jefferson Davis Parish,Louisiana,56500
Lafayette Parish,Louisiana,67660
Lafourche Parish,Louisiana,63439
LaSalle Parish,Louisiana,67077
Lincoln Parish,Louisiana,38035
Livingston Parish,Louisiana,78617
Madison Parish,Louisiana,37267
Morehouse Parish,Louisiana,36981
Natchitoches Parish,Louisiana,46798
Orleans Parish,Louisiana,55339
Ouachita Parish,Louisiana,51241
Plaquemines Parish,Louisiana,82874
Pointe Coupee Parish,Louisiana,59351
Rapides Parish,Louisiana,55946
Red River Parish,Louisiana,44539
Richland Parish,Louisiana,52960
Sabine Parish,Louisiana,52047
St. Bernard Parish,Louisiana,57638
St. Charles Parish,Louisiana,82172
St. Helena Parish,Louisiana,50193
St. James Parish,Louisiana,64536
St. John the Baptist Parish,Louisiana,67418
St. Landry Parish,Louisiana,45637
St. Martin Parish,Louisiana,53394
St. Mary Parish,Louisiana,51768
St. Tammany Parish,Louisiana,79277
Tangipahoa Parish,Louisiana,57256
Tensas Parish,Louisiana,36074
Terrebonne Parish,Louisiana,64819
Union Parish,Louisiana,45743
Vermilion Parish,Louisiana,57537
Vernon Parish,Louisiana,58281
Washington Parish,Louisiana,42776
Webster Parish,Louisiana,37396
West Baton Rouge Parish,Louisiana,87320
West Carroll Parish,Louisiana,48514
West Feliciana Parish,Louisiana,74277
Winn Parish,Louisiana,46368
Androscoggin County,Maine,67298
Aroostook County,Maine,54254
Cumberland County,Maine,92983
Franklin County,Maine,58522
Hancock County,Maine,69630
Kennebec County,Maine,65062
Knox County,Maine,71903
Lincoln County,Maine,72026
Oxford County,Maine,57933
Penobscot County,Maine,63248
Piscataquis County,Maine,55234
Sagadahoc County,Maine,82080
Somerset County,Maine,56199
Waldo County,Maine,68441
Washington County,Maine,52237
York County,Maine,82904
Allegany County,Maryland,57393
Anne Arundel County,Maryland,120324
Baltimore County,Maryland,90904
Calvert County,Maryland,132059
Caroline County,Maryland,66368
Carroll County,Maryland,115876
Cecil County,Maryland,91146
Charles County,Maryland,120592
Dorchester County,Maryland,60495
Frederick County,Maryland,120458
Garrett County,Maryland,69031
Harford County,Maryland,111317
Howard County,Maryland,146982
Kent County,Maryland,74402
Montgomery County,Maryland,128733
Prince George's County,Maryland,100708
Queen Anne's County,Maryland,113347
St. Mary's County,Maryland,114580
Somerset County,Maryland,52462
Talbot County,Maryland,84378
Washington County,Maryland,74157
Wicomico County,Maryland,72861
Worcester County,Maryland,81455
Baltimore city,Maryland,59623
Barnstable County,Massachusetts,94452
Berkshire County,Massachusetts,72565
Bristol County,Massachusetts,84198
Dukes County,Massachusetts,102348
Essex County,Massachusetts,99431
Franklin County,Massachusetts,72584
Hampden County,Massachusetts,70535
Hampshire County,Massachusetts,86391
Middlesex County,Massachusetts,126779
Nantucket County,Massachusetts,119750
Norfolk County,Massachusetts,126497
Plymouth County,Massachusetts,109698
Suffolk County,Massachusetts,92859
Worcester County,Massachusetts,93561
Alcona County,Michigan,53568
Alger County,Michigan,59406
Allegan County,Michigan,80255
Alpena County,Michigan,51909
Antrim County,Michigan,71421
Arenac County,Michigan,56989
Baraga County,Michigan,55117
Barry County,Michigan,77873
Bay County,Michigan,60523
Benzie County,Michigan,72603
Berrien County,Michigan,63152
Branch County,Michigan,61958
Calhoun County,Michigan,60385
Cass County,Michigan,68011
Charlevoix County,Michigan,76495
Cheboygan County,Michigan,61619
Chippewa County,Michigan,60631
Clare County,Michigan,49805
Clinton County,Michigan,85928
Crawford County,Michigan,58614
Delta County,Michigan,54829
Dickinson County,Michigan,61882
Eaton County,Michigan,78025
Emmet County,Michigan,73724
Genesee County,Michigan,60673
Gladwin County,Michigan,55576
Gogebic County,Michigan,49672
Grand Traverse County,Michigan,79486
Gratiot County,Michigan,61128
Hillsdale County,Michigan,60869
Houghton County,Michigan,56573
Huron County,Michigan,56963
Ingham County,Michigan,64354
Ionia County,Michigan,73436
Iosco County,Michigan,47777
Iron County,Michigan,53614
Isabella County,Michigan,53759
Jackson County,Michigan,65004
Kalamazoo County,Michigan,70525
Kalkaska County,Michigan,60365
Kent County,Michigan,80390
Keweenaw County,Michigan,53893
Lake County,Michigan,49680
Lapeer County,Michigan,76228
Leelanau County,Michigan,91943
Lenawee County,Michigan,67013
Livingston County,Michigan,101315
Luce County,Michigan,54338
Mackinac County,Michigan,58598
Macomb County,Michigan,76399
Manistee County,Michigan,60879
Marquette County,Michigan,64675
Mason County,Michigan,62296
Mecosta County,Michigan,57774
Menominee County,Michigan,55688
Midland County,Michigan,77538
Missaukee County,Michigan,61868
Monroe County,Michigan,75272
Montcalm County,Michigan,64892
Montmorency County,Michigan,47803
Muskegon County,Michigan,63495
Newaygo County,Michigan,61931
Oakland County,Michigan,95296
Oceana County,Michigan,63624
Ogemaw County,Michigan,51983
Ontonagon County,Michigan,51844
Osceola County,Michigan,57050
Oscoda County,Michigan,50581
Otsego County,Michigan,67285
Ottawa County,Michigan,87144
Presque Isle County,Michigan,56713
Roscommon County,Michigan,54106
Saginaw County,Michigan,58347
St. Clair County,Michigan,69349
St. Joseph County,Michigan,64707
Sanilac County,Michigan,59074
Schoolcraft County,Michigan,57708
Shiawassee County,Michigan,64464
Tuscola County,Michigan,62847
Van Buren County,Michigan,66902
Washtenaw County,Michigan,87156
Wayne County,Michigan,59521
Wexford County,Michigan,63123
Aitkin County,Minnesota,59498
Anoka County,Minnesota,98764
Becker County,Minnesota,71117
Beltrami County,Minnesota,67257
Benton County,Minnesota,71480
Big Stone County,Minnesota,65475
Blue Earth County,Minnesota,72623
Brown County,Minnesota,68690
Carlton County,Minnesota,80042
Carver County,Minnesota,123144
Cass County,Minnesota,64937
Chippewa County,Minnesota,69192
Chisago County,Minnesota,98260
Clay County,Minnesota,77664
Clearwater County,Minnesota,64934
Cook County,Minnesota,71643
Cottonwood County,Minnesota,68239
Crow Wing County,Minnesota,71343
Dakota County,Minnesota,105212
Dodge County,Minnesota,92943
Douglas County,Minnesota,77264
Faribault County,Minnesota,64391
Fillmore County,Minnesota,75225
Freeborn County,Minnesota,69012
Goodhue County,Minnesota,82749
Grant County,Minnesota,72957
Hennepin County,Minnesota,96339
Houston County,Minnesota,77087
Hubbard County,Minnesota,70622
Isanti County,Minnesota,86573
Itasca County,Minnesota,66380
Jackson County,Minnesota,69955
Kanabec County,Minnesota,71915
Kandiyohi County,Minnesota,75097
Kittson County,Minnesota,69615
Koochiching County,Minnesota,69115
Lac qui Parle County,Minnesota,71639
Lake County,Minnesota,75621
Lake of the Woods County,Minnesota,70091
Le Sueur County,Minnesota,90218
Lincoln County,Minnesota,67715
Lyon County,Minnesota,72761
McLeod County,Minnesota,78468
Mahnomen County,Minnesota,53925
Marshall County,Minnesota,71701
Martin County,Minnesota,62969
Meeker County,Minnesota,75037
Mille Lacs County,Minnesota,71455
Morrison County,Minnesota,68640
Mower County,Minnesota,71495
Murray County,Minnesota,74475
Nicollet County,Minnesota,80362
Nobles County,Minnesota,65509
Norman County,Minnesota,69833
Olmsted County,Minnesota,93494
Otter Tail County,Minnesota,70912
Pennington County,Minnesota,72561
Pine County,Minnesota,69666
Pipestone County,Minnesota,66073
Polk County,Minnesota,69136
Pope County,Minnesota,72205
Ramsey County,Minnesota,81004
Red Lake County,Minnesota,77500
Redwood County,Minnesota,67024
Renville County,Minnesota,69086
Rice County,Minnesota,82792
Rock County,Minnesota,70698
Roseau County,Minnesota,73611
St. Louis County,Minnesota,69455
Scott County,Minnesota,120247
Sherburne County,Minnesota,102965
Sibley County,Minnesota,76082
Stearns County,Minnesota,76447
Steele County,Minnesota,83448
Stevens County,Minnesota,71060
Swift County,Minnesota,62601
Todd County,Minnesota,63039
Traverse County,Minnesota,65931
Wabasha County,Minnesota,80133
Wadena County,Minnesota,56882
Waseca County,Minnesota,75052
Washington County,Minnesota,114457
Watonwan County,Minnesota,70593
Wilkin County,Minnesota,69635
Winona County,Minnesota,70198
Wright County,Minnesota,106666
Yellow Medicine County,Minnesota,71573
Adams County,Mississippi,40250
Alcorn County,Mississippi,49404
Amite County,Mississippi,35385
Attala County,Mississippi,48098
Benton County,Mississippi,42139
Bolivar County,Mississippi,37315
Calhoun County,Mississippi,43942
Carroll County,Mississippi,55275
Chickasaw County,Mississippi,43041
Choctaw County,Mississippi,48321
Claiborne County,Mississippi,34371
Clarke County,Mississippi,46054
Clay County,Mississippi,39904
Coahoma County,Mississippi,36259
Copiah County,Mississippi,47994
Covington County,Mississippi,47001
DeSoto County,Mississippi,82980
Forrest County,Mississippi,52821
Franklin County,Mississippi,45618
George County,Mississippi,54822
Greene County,Mississippi,55838
Grenada County,Mississippi,47998
Hancock County,Mississippi,67728
Harrison County,Mississippi,57233
Hinds County,Mississippi,49966
Holmes County,Mississippi,29434
Humphreys County,Mississippi,32976
Issaquena County,Mississippi,29271
Itawamba County,Mississippi,59508
Jackson County,Mississippi,64756
Jasper County,Mississippi,47157
Jefferson County,Mississippi,36207
Jefferson Davis County,Mississippi,37183
Jones County,Mississippi,51143
Kemper County,Mississippi,43595
Lafayette County,Mississippi,64334
Lamar County,Mississippi,69106
Lauderdale County,Mississippi,50033
Lawrence County,Mississippi,43368
Leake County,Mississippi,48418
Lee County,Mississippi,67144
Leflore County,Mississippi,33188
Lincoln County,Mississippi,48316
Lowndes County,Mississippi,54460
Madison County,Mississippi,78794
Marion County,Mississippi,42320
Marshall County,Mississippi,51875
Monroe County,Mississippi,51231
Montgomery County,Mississippi,45057
Neshoba County,Mississippi,53087
Newton County,Mississippi,50426
Noxubee County,Mississippi,38814
Oktibbeha County,Mississippi,43482
Panola County,Mississippi,43990
Pearl River County,Mississippi,56535
Perry County,Mississippi,50435
Pike County,Mississippi,41578
Pontotoc County,Mississippi,52741
Prentiss County,Mississippi,51466
Quitman County,Mississippi,32131
Rankin County,Mississippi,77454
Scott County,Mississippi,48492
Sharkey County,Mississippi,35741
Simpson County,Mississippi,54111
Smith County,Mississippi,51396
Stone County,Mississippi,59307
Sunflower County,Mississippi,40265
Tallahatchie County,Mississippi,37383
Tate County,Mississippi,63995
Tippah County,Mississippi,51141
Tishomingo County,Mississippi,46257
Tunica County,Mississippi,38402
Union County,Mississippi,56807
Walthall County,Mississippi,45444
Warren County,Mississippi,56648
Washington County,Mississippi,40117
Wayne County,Mississippi,36791
Webster County,Mississippi,59964
Wilkinson County,Mississippi,35930
Winston County,Mississippi,49071
Yalobusha County,Mississippi,49171
Yazoo County,Mississippi,40974
Adair County,Missouri,56583
Andrew County,Missouri,74007
Atchison County,Missouri,59260
Audrain County,Missouri,56232
Barry County,Missouri,56611
Barton County,Missouri,49503
Bates County,Missouri,57914
Benton County,Missouri,52200
Bollinger County,Missouri,57286
Boone County,Missouri,69913
Buchanan County,Missouri,59423
Butler County,Missouri,49213
Caldwell County,Missouri,62520
Callaway County,Missouri,72645
Camden County,Missouri,62927
Cape Girardeau County,Missouri,68912
Carroll County,Missouri,61712
Carter County,Missouri,45083
Cass County,Missouri,87413
Cedar County,Missouri,45577
Chariton County,Missouri,63307
Christian County,Missouri,81245
Clark County,Missouri,51458
Clay County,Missouri,86150
Clinton County,Missouri,70625
Cole County,Missouri,73273
Cooper County,Missouri,67548
Crawford County,Missouri,56345
Dade County,Missouri,49899
Dallas County,Missouri,53177
Daviess County,Missouri,60665
DeKalb County,Missouri,69093
Dent County,Missouri,54306
Douglas County,Missouri,49828
Dunklin County,Missouri,47368
Franklin County,Missouri,71973
Gasconade County,Missouri,65096
Gentry County,Missouri,57458
Greene County,Missouri,57488
Grundy County,Missouri,53839
Harrison County,Missouri,53364
Henry County,Missouri,56621
Hickory County,Missouri,35084
Holt County,Missouri,58516
Howard County,Missouri,62628
Howell County,Missouri,49814
Iron County,Missouri,51161
Jackson County,Missouri,67178
Jasper County,Missouri,57525
Jefferson County,Missouri,80522
Johnson County,Missouri,67123
Knox County,Missouri,53333
Laclede County,Missouri,50825
Lafayette County,Missouri,79091
Lawrence County,Missouri,55849
Lewis County,Missouri,52340
Lincoln County,Missouri,85276
Linn County,Missouri,61975
Livingston County,Missouri,60148
McDonald County,Missouri,48145
Macon County,Missouri,58318
Madison County,Missouri,58435
Maries County,Missouri,61359
Marion County,Missouri,63908
Mercer County,Missouri,60357
Miller County,Missouri,55172
Mississippi County,Missouri,46258
Moniteau County,Missouri,65161
Monroe County,Missouri,48299
Montgomery County,Missouri,61042
Morgan County,Missouri,49663
New Madrid County,Missouri,49237
Newton County,Missouri,64583
Nodaway County,Missouri,55970
Oregon County,Missouri,44259
Osage County,Missouri,75355
Ozark County,Missouri,42329
Pemiscot County,Missouri,40748
Perry County,Missouri,63356
Pettis County,Missouri,60232
Phelps County,Missouri,55427
Pike County,Missouri,57572
Platte County,Missouri,95748
Polk County,Missouri,56686
Pulaski County,Missouri,66435
Putnam County,Missouri,56875
Ralls County,Missouri,62054
Randolph County,Missouri,55310
Ray County,Missouri,72152
Reynolds County,Missouri,44357
Ripley County,Missouri,43898
St. Charles County,Missouri,102912
St. Clair County,Missouri,46731
Ste. Genevieve County,Missouri,61310
St. Francois County,Missouri,54813
St. Louis County,Missouri,81340
Saline County,Missouri,56566
Schuyler County,Missouri,56023
Scotland County,Missouri,67568
Scott County,Missouri,58847
Shannon County,Missouri,59000
Shelby County,Missouri,52127
Stoddard County,Missouri,54067
Stone County,Missouri,61323
Sullivan County,Missouri,55500
Taney County,Missouri,58258
Texas County,Missouri,48055
Vernon County,Missouri,54519
Warren County,Missouri,77989
Washington County,Missouri,51886
Wayne County,Missouri,43393
Webster County,Missouri,69731
Worth County,Missouri,46167
Wright County,Missouri,47304
St. Louis city,Missouri,55279
Beaverhead County,Montana,58072
Big Horn County,Montana,56680
Blaine County,Montana,65050
Broadwater County,Montana,63636
Carbon County,Montana,71017
Carter County,Montana,52171
Cascade County,Montana,66203
Chouteau County,Montana,56927
Custer County,Montana,63585
Daniels County,Montana,58000
Dawson County,Montana,70953
Deer Lodge County,Montana,49533
Fallon County,Montana,72284
Fergus County,Montana,59731
Flathead County,Montana,71327
Gallatin County,Montana,87454
Garfield County,Montana,61750
Glacier County,Montana,45129
Golden Valley County,Montana,57353
Granite County,Montana,54646
Hill County,Montana,55313
Jefferson County,Montana,76576
Judith Basin County,Montana,55417
Lake County,Montana,61965
Lewis and Clark County,Montana,74543
Liberty County,Montana,53264
Lincoln County,Montana,47018
McCone County,Montana,71842
Madison County,Montana,67420
Meagher County,Montana,56215
Mineral County,Montana,61117
Missoula County,Montana,71246
Musselshell County,Montana,59010
Park County,Montana,66607
Petroleum County,Montana,59318
Phillips County,Montana,58156
Pondera County,Montana,53500
